Description,TotalSalesDollars,ProfitMargin
Americano Petite Syrah,1560.12,30.7745558
Amrut Fusion Single Malt,5384.19,90.64297508
Anakota 11 Helena Montana CS,1919.76,18.35177314
Anakota Cab Svgn Helena Dako,1359.83,37.80913791
Anarkos Puglia,299.76,66.21297038
Anastasi Estates Messinia Rd,323.73,85.28403299
Anderra Cab Svgn,4374.21,45.41551503
Anderra Carmenere,107.88,32.92547275
Anderra Svgn Bl,5655.8,39.3622476
Andre Moscato,558.04,23.44634793
Andre Pink Moscato,240.58,20.09310832
Andre Spumante Calif,2295.15,34.04875498
Andrew Will Two Blondes WA,803.88,33.33333333
AnestasiA Vodka,7990.39,68.47212714
Angela Yamhill-Carlton Pnt N,1072.71,19.3892105
Angeline Chard Cal,217.76,18.49742836
Angeline Svgn Bl RRV,255.15,34.1563786
Angelini Sangiovese Pesaresi,1888.81,38.05253043
Angels Envy Hanover Chop,275.94,23.07023266
Angels Landing Cab Svgn,4817.59,22.4043557
Angoves Nine Vines Moscato,395.67,2.289786944
Anna de Codorniu Brut Rose,191.88,34.64665416
Annabella Cab Svgn Napa,1039.35,24.60095252
Antech Limoux Brut,1618.65,0.917431193
Anterra Chardonnay,4634.2,91.84325234
Anthology Conn Crk Cab Napa,4164.94,23.31102009
Antica Cab Svgn Napa Valley,2791.4,21.00737981
Antica Chard Napa Valley,1193.62,31.12380825
Antica Fratta Franciacorta B,6680.38,44.51872498
Antico Colle Chianti Colli,263.76,33.75796178
Antigal Uno Cab Mendza,782.52,72.64478863
Antinori Badia Chianti Clsc,455.88,28.73782574
Antinori Bolgheri Guado,5948.39,56.80242889
Antinori Brnllo Mntlcno Pain,1413.74,50.89196033
Antinori Cervaro della Salla,271.92,37.65813475
Antinori Orvieto Clsc Campo,8881.82,42.35956144
Antinori Tignanello,9115.97,48.28273897
Antiquary 12 Yr Old Scotch,134.94,24.23299244
Anton Bauer Gmork Rose,167.88,34.66761973
Apaltagua Envero Gran Rsv,750.5,8.892738175
Apaltagua Rose Carmenere,7671.02,30.45592372
Apimed Old Slavic Mead Dark,953.1,34.93862134
Apimed Old Slavic Mead Light,635.4,39.09348442
Apimed Slovak Mead,464.58,38.16350252
Apimed Trnava Mead,335.7,40.12511171
Apple Orchard Liqueur,2017.98,90.2090209
Aquilon 06 Garnacha de Borja,629.93,90.6021304
Aquinas Cab Svgn,3592.35,90.42409565
Aquinas Napa Chard,643.54,85.3155981
