Description,TotalSalesDollars,ProfitMargin
Champalou Vouvray Cuvee Fon,5635.08,25.18296102
Champlain Orchards Sprklng C,2676.97,22.85307643
Chanrion Cote de Brouilly,379.8,93.33333333
Chanson Le Bourgogne Pnt Nr,1126.51,83.98948966
Chanson Vire Clesse,1586.31,90.27302356
Chapelle de Bastion Picpoul,3066.93,20.62420727
Chapelle-St-Arnoux CdR Rouge,131.88,33.30300273
Chapoutier Cotes du Rhone R,6767.79,29.11068458
Chapoutier Hrmtage La Sizera,2399.7,62.21986082
Charles & Charles Chard,665.85,92.05226402
Charles Fournier Rsl,303.81,69.42826108
Charles Goodnight Bourbon,2951.31,86.37588054
Charles Heidsieck Brut Rose,5291.32,43.37518804
Charles Joguet Chinon Rose,181.87,75.03711442
Charles Smith King Coal Red,1199.88,34.64346435
Chartron Trebuchet Puligny,2897.54,63.02898321
Chateau Camensac 10,719.85,81.97957908
Chateau Carlmagnus 10,944.65,88.71963161
Chateau Gazin Pomerol 10,389.97,31.0331564
Chateau Giscours Margaux,399.92,57.4789958
Chateau Montrose St Estephe,3977.74,46.86304283
Chateau Pontet Canet Pauilac,3919.72,73.27538702
Chateau Simon Bordeaux Blanc,1625.04,88.09875449
Chateau d'Issan Margaux,1079.8,79.86849417
Chehalem Ian's Chard Rsv,832.66,45.08683016
Chehalem Inox Chard Wlmt Vly,1379.31,75.2122438
Chehalem Pnt Nr Three Vyd,3266.48,82.01335995
Chehalem Ridge Crest Vyds Pn,3275.22,71.13048894
Chene Bleu Rose,9686.86,33.41318029
Chenin Bl K Forrester Stlnbh,1427.16,51.73631548
Cherry Heering Liqueur,944.73,50.87485313
Cherry On Top Sweet White,64.95,89.00692841
Cheval Blanc,2609.97,32.88543546
Cheval Blanc St Emilion 08,7199.84,50.00055557
Cheval des Andes Mendoza,3839.36,56.25364644
Chevalier L'Aujardiere Chard,356.79,93.73300821
Chi Chi's Chocolate Malt RTD,461.58,98.11083669
Chi Chi's Mai Tai,527.52,28.02547771
Chi Chi's Orange Cream RTD,5914.78,65.85908521
Chi Chi's Ruby Red Margarita,4780.18,67.75686271
Chicken & Turkey Cotes du Rh,479.47,76.34888523
Chigard Fleurie Les Moriers,3418.29,85.67704905
Chilcas Pinot Noir,19.99,32.4162081
Chilensis Pnt Nr,2477.52,28.0893797
Chimney Rock SLD Cab Svgn,139.98,35.4907844
Chinaco Anejo Tequila,66.99,21.86893566
Chinaco Blanco Tequila,5728.09,85.20501598
Chivas Regal w/ 2 Glasses,3038.09,95.44384794
Chloe Chard,838.43,11.20546736
Chloe Red,834.39,10.78033054
Chocolate Cuvee,1319.95,29.91249669
Chops & Burgers Bordeaux,4661.44,47.07772705
Choyomusubi Ryo Junmai Sake,6728.82,25.40148198
Christian Bros Cream Sherry,5943.93,34.64997064
Christian Bros Dry Sherry,9612.99,31.1207023
Christian Bros Holiday Nog,8982.15,25.9475738
Christian Bros Ruby Port,720.72,28.24675325
Christian Drouin Calvados,942.59,87.53859048
Christmas Traditions Pnk Mos,119.88,31.03103103
Chronic Cellars Dead Nuts,2084.12,33.77924496
Chronic Cellars Sofa King,5695.04,21.06218745
Churchill's Late Bottled 05,2225.1,31.72441688
Churchill's Vintage Port 11,7906.85,45.31552602
Churchills 10 Yr Tawny Port,2033.2,43.07938225
Churchills 20 Yr Tawny Port,3381.21,45.34915016
Churchills LBV Port,131.94,20.14552069
Ciacci 07 Piccolomino Brunlo,779.87,84.51280342
Cielo Pnt Grigio,7331.21,32.20186596
Cigar Box Cab Svgn Valle Cen,8123.22,32.63533426
Cigar Zin Old Vine Zinfandel,485.73,9.875856958
Cinq les Pattes Bordeaux Bla,1266.92,85.24295141
Cinquante-Cinq Chardonnay L,433.69,47.94669003
Cinquante-Cinq Viogn Lang Wh,323.76,33.06152706
Circa Pinot Grigio,455.64,30.15538583
Circa Rosso,116.91,10.49525276
Circadia Cab Svgn Napa Vly,74.99,68.0357381
Ciro Rosso Clsc Librandi Cl,77.94,19.55350269
Citation Chard,2519.3,15.17485016
Citra Trebbiano D'Abruzzo,5622.77,29.75988703
Citran Haut-Medoc,1014.65,94.12802444
Clan MacGregor Scotch,323.73,64.45185803
Clarendelle Brdx Blanc,3330.04,72.4207517
Clarendelle Brdx Rouge,4918.41,88.89031211
Clark & Chesterfield Whiskey,2498.75,18.8154077
Claude Riffault Chass Sancer,890.67,77.4731382
Clayhouse Cab Svgn,3311.82,35.48562422
Clayhouse Petite Sirah,5510.75,64.54384612
Clayhouse Syrah Paso Robles,5424.22,43.12564756
Clemento VII Toscano,4637.68,8.073002018
Cles des Ducs Armagnac VSOP,3694.32,87.83537972
Clio Jumilla Red,7513.33,21.11713448
Clix Vodka,1799.94,86.97901041
Clos Amador Rose Tendre Cava,497.59,5.46433811
Clos Erasmus Laurel Priorat,1469.7,66.66666667
Clos LaChance Cab Svgn,1317.16,23.3259437
Clos LaChance Chard,5112.09,42.76548339
Clos LaChance Meritage,399.6,91.49149149
Clos Rochette Faiveley 09,559.72,14.26427499
Clos de Marquis 09 St Julien,5615.76,62.64423693
Clos du Bois Chard Calcaire,516.53,82.7386599
Clos du Bois Marlstone,8340.18,57.44780089
Clos du Bois RSV Merlot Alex,2588.49,33.03199935
Clos du Bois Unoaked Chard,5808.55,5.046870561
Clynelish Single Malt Scotch,8878.52,23.15487266
Coastal Vines Cab Svgn Cal,286.59,23.96105935
Cocchi Americano,759.62,3.484637055
Cocchi Vermouth di Torino Sw,37.98,35.07109005
Cocci Grifoni Tellus Red,645.62,59.38787522
Cocktail Time Key Lime Rtd,6562.06,74.23080557
Cocktail Time Strawberry Rtd,6454.17,73.42260895
Codice Sierra Cantabria Red,7500.62,48.14508667
Codorniu Original Spklg Cava,7828.82,35.16072665
Cointreau VAP,3251,88.77299293
Colby Red,815.04,31.44876325
Coldcock American Herbal Whi,9399.81,39.24451664
Colimoro Montepul D'Abruzzo,131.88,31.02820746
Collezione Chianti,179.64,35.07014028
Collezione Monte d'Abruzzo,588.82,34.66933868
Colombo Marsala Dry,8687.93,33.13850365
Colosi Sicilia Dry Red,7015.96,38.96259386
Columbia Crest Gr Ests Syrah,938.41,34.29844098
Columbia Crest H3 Svgn Bl,519.04,47.78051788
Columbia Crest Two Vines Rsl,630.91,21.48310464
Columbia Crest Two Vn Shiraz,226.7,51.61887958
Columbia Crest Vns Merlot/Ca,7712.4,36.20909185
Columbia Crest Walter Clore,500.79,61.99604625
Columbia Winery Cab Svgn,8262.89,56.91047563
Columbia Winery Merlot,503.64,63.40243031
Columbia Winery Red Blend,1642.63,60.89685443
Comandon XO Cognac,2599.8,96.21201631
Comm Bargemone d'Aix Blanc,2578.71,21.92452816
Commander Quincy's Rum Toddy,6925.05,78.25459744
Common Man Pnt Grigio,4854.6,27.44778149
Common Man Slctn Woodford Rs,2253.51,20.63492063
Comoloco Monastrell Jumilla,269.7,17.24137931
Compilation Cab Svgn,658.8,35.15482696
Concannon Crimson & Clover,311.76,32.87143957
Concannon Founder Chard,4790.71,40.3846194
Concannon Glen Ellen Wh Zin,15.95,83.44827586
Concannon Irish Whiskey,263.88,21.8735789
Concannon Petite Sirah Cntrl,3536.75,91.87728847
Conch Republic Dark Rum,224.82,51.69468908
Conn Crk Ltd Rls Np Cab Svgn,6878.25,21.91851125
Cono Sur Cab Svgn Cntrl Vly,7426.08,42.2659061
Cono Sur Chard Cntrl Vly,5488.32,47.1954988
Cono Sur Organic Cab Svgn,8875.27,38.85932484
Cono Sur Organic Chard,6143.06,41.36147132
Cono Sur Organic Svgn Bl,2315.74,53.49434738
Cono Sur Vision Cab Svgn,2811.44,25.94257747
Cono Sur Vision Pnt Nr,2972.34,41.78155931
Cono Sur Vision Svgn Bl Csbl,2615.61,38.88997213
Conservancy Concannon Chard,77.94,1.963048499
Constanti Brunello Montalcno,1841.75,29.5018325
Conterno Barolo Sori Gnestra,3097.66,37.4627945
Conterno Fantino Barb Alba,2634.07,0.476448993
Conterno Fantino Barolo Mosc,4370.53,47.89281849
Conti Zecca Primitivo,520.84,34.29844098
Contos de Valpiedra Rioja,199.9,32.86643322
Contratto 08 Milesimato Brut,2965.62,79.97450786
Conundrum Sparkling 25th Ann,1199.52,31.97278912
Convento Las Claras 12 Tinto,4065.15,87.00269363
Cooks Extra Dry Champagne,2973.11,21.57706913
Cooks Grand Reserve,285.64,13.45749895
Copa di Vino Cab Svgn,1416.81,50.3419654
Copa di Vino Chard,1503.96,59.52285965
Copa di Vino Pnt Grigio,2255.94,59.60264901
Copain Monument Tree Pnt Nr,1049.79,96.86699245
Copain Tous Ensemble Pnt Nr,5253.81,9.870741424
Copain Wentzel Pnt Nr,839.86,90.6627295
Coppo L'Avvocata,1152.26,42.21443077
Corbett Canyon Pnt Nr,1143.12,23.95199104
Cormons Schioppettino,363.72,16.24326405
Coronet VSQ,181.86,32.49752557
Corral De Peidra Cab Svgn,9196.54,33.34710663
Cortijo Rosado Rioja,237.83,69.05352563
Cortijo Tinto Rioja,195.27,35.45347468
Coruba Rum,179.88,24.2161441
Corvo Moscato Siciliarvo,8151.88,23.51543448
Corvo Nero d'Avola & Pnt Gr,5367.76,80.80987227
Corvo Pnt Grigio,2659.38,9.061886605
Corzo Silver Tequila,699.86,25.71800074
Cos d'Estournel St Estephe,2099.93,33.77445915
Cosentino The Zin,629.58,41.2751358
Coste di Brenta Cerasuolo,186.83,2.628057592
Cote Mas Blanc Mediterrane,1609.21,91.71021806
Couleurs Du Sud Viognier,2547.45,79.86221516
Couly-Dutheil Chinon Rose,1219.39,87.54131164
Courvoisier L'Essence Cognac,3399.99,25.92595861
Courvoisier Rose,591.68,93.15508383
Cousino Macul RSV Cab Svgn,9821.93,44.07657151
Couvent des Thorins Moulin,649.75,97.31589073
Crane Lake Cab Svgn Cal,733.75,17.34333058
Crane Lake Chard Cal,943.95,17.7753059
Crane Lake Pnt Grigio Cal,539.4,33.81535039
Creme Yvette Liqueur,47.98,61.83826594
Creta Olympia Red,23.76,35.35353535
Creta Olympia White,431.28,56.37173066
Crios Cab Svgn,3314.38,41.3585648
Cristobal Pie Palo Viognier,359.7,40.86738949
Cristobal Pie de Palo Malbec,431.64,34.19516264
Cristom Estate Pnt Gr Eola A,1955.97,23.86386294
Cristom Pnt Nr Sommers Rsv,2300.41,31.98386375
Cristom Vyds Viognier Estate,1231.56,7.239598558
Croft Port 11,1039.87,85.01543462
Croft Reserve Tawny,719.64,17.54210439
Croft Tawny Porto,191.84,0.041701418
Croix de Basson Rose Organic,1748.75,89.6154396
Croix de Beaucaillou St Juln,1879.6,72.0435199
Crop Meyer Lemon Vodka,173.94,20.62780269
Crossbarn Cab Svgn,439.89,34.20855214
Crown Royal 75th Anniversary,4339.38,76.62338859
Crown Royal Apple,27.86,89.80617373
Crown Royal No Harvest Rye,8978.88,61.44920079
Crown Royal w/2 Glasses,2958.67,94.77400318
Cruz Garcia Real Sangria Rd,733.37,21.72436833
Cruzan Banana Flavored Rum,2384.83,13.34225081
Cruzan Citrus Flavored Rum,1120.98,73.01646773
Cruzan Est Single Barrel Rum,179.94,21.87395799
Cruzan Raspberry Flavord Rum,2615.62,24.44621161
Cruzan Strawberry Rum,593.46,13.14494658
Cruzan Vanilla Flavored Rum,9198.63,23.15812246
Cryptic California Red,9351.54,33.75101855
Culpeo Malbec,281.25,40.352
Culpeo Pnt Nr,497.52,36.61360347
Cupcake Chianti,587.16,92.21677226
Cupcake Moscato,3624.58,28.09925564
Cupcake Petit Sirah Cal,536.87,35.22454225
Cusumano Merlot,307.78,31.52251608
Cutler Creek Merlot,144.02,18.01138731
Cutler Creek Wh Znfdl,106.12,14.17263475
Cutty Sark Prohibition,8402.06,79.826971
Cuvee Aurora Rose Sparkling,7380.8,35.98254932
Cyan Toro Zamora,1231.23,97.33193636
Cyrus Alexander Vly,1199.88,34.64346435
Cyrus Cab Svgn Alex Vly,3563.35,17.53827157
D Bosler Pnt Nr Casablanca,854.43,32.72708121
D.des Senechaux CdP,7748.45,74.95615252
DK Burst Blustery Pmnt Trav,472.57,16.10131832
Dachshund Rsl,4716.7,83.09326436
Dad's Hat Rye Whiskey,538.89,81.85158381
Dalton Canaan Red,109.89,76.52197652
Damilano 11 Brunate Barolo,4199.3,22.0870145
Damilano Cannubi Barolo,4079.49,44.35333828
Damrak Amsterdam Gin,7649.44,58.23772721
Dancing Bull Zabaco Cab Svgn,7206.62,39.36158699
Daou Reserve Seventeen Forty,3023.52,10.71995555
Daou Rsv Cab Svgn,3409.38,12.50549953
Daou Soul of a Lion Red,3194.72,43.53683578
Darioush Chard,1549.69,23.08397163
Darioush Merlot Napa Valley,2099.65,34.97916319
Dark Corner Moonshine,2391.08,71.39786205
DarkHorse Rose,6511.85,32.4155194
David Bruce Pnt Nr Anderson,6237.92,97.20820402
David Girard Vyds Syrah Okei,5997,32.4162081
David Stone Pnt Nr,53.88,30.95768374
De Loach Merlot Cal,7714.53,51.45874084
De Martino Cab Svgn Estate,13.99,34.66761973
De Martino Carmenere Estate,3611.82,33.14118644
De Martino Svgn Bl Organic,167.88,31.52251608
De Villaine Bouzeron Aligot,824.75,2.050318278
DeKuyper Amaretto,1249.61,48.02858492
DeKuyper Blackberry Brandy,1118.88,8.715858716
DeKuyper Blue Curacao,5537.84,24.8028112
DeKuyper Buttershots,2753.88,22.87754005
DeKuyper Buttershots Trav,175.84,95.93949045
DeKuyper Cactus Juice,241.78,41.0083547
DeKuyper Cherry Brandy,519.48,25.25987526
DeKuyper Coffee Brandy,659.34,17.40528407
DeKuyper Creme de Banana,1105.77,32.03649945
DeKuyper Creme de Cacao Dark,5411.98,39.51492799
DeKuyper Creme de Cacao Whit,7866.25,26.17168282
DeKuyper Creme de Cassis,9115.86,26.99580731
DeKuyper Grape Pucker,1311.99,6.14562611
DeKuyper Hazelnut,1887.9,37.10683829
DeKuyper Island Punch Pucker,5416.83,25.13407288
DeKuyper Melon,1375.47,23.45307422
DeKuyper Mixed Berry Medley,252.77,96.85089212
DeKuyper O3 Orange Liqueur,199.9,23.06153077
DeKuyper Orange Curacao,2211.54,19.64513416
DeKuyper Peach Pucker,90.93,56.36203673
DeKuyper Pineapple,1299,14.27251732
DeKuyper Pomegranate,729.27,60.56330303
DeKuyper Red Apple Schnapps,2384.83,19.70245259
DeKuyper Root Beer Schnapps,4736.69,21.68835199
DeKuyper Spearmint Schnapps,1195.08,40.88094521
DeKuyper Strawberry Pucker,527.52,64.28571429
DeKuyper White Creme de Ment,1428.57,24.88992489
DeLille Cellars Chaleur Blnc,1146.69,74.01564503
DeLille Cellars D2,8985.86,79.30214804
DeLille Cellars Doyenne AIX,935.76,68.39039925
DeLille Cellars Gr Ciel Cab,4549.65,66.60446408
DeWetshof Limestone Hl Chard,9177.07,28.05568662
Debauchery Chard,156.33,51.50642871
Debauchery Pnt Nr,11.58,65.97582038
Debauchery Svgn Bl,2742.04,31.55460898
Deep Eddy Sweet Tea Vodka,7229,17.32853783
Deep Eddy Vodka,9353.56,42.36000815
Defesa Branco White Alentejo,3078.63,40.50990213
Defesa Rose Alentejo,5897.46,28.10803295
Defesa Tinto Red Alentejo,5351.88,34.8625156
Del Maguey Vida Mezcal,216.93,24.76835846
Delamotte Bl de Bl Brut,3298.68,76.76767677
Delamotte Bl de Bl Champagne,1149.77,66.34109431
Delamotte Brut,6960.27,86.51263279
Delicious White P Vella B/B,509.66,11.56457246
Desert Island Iced Tea,2923.29,24.19670987
Desert Wind Cab Svgn,8123.72,5.74268931
Desert Wind Ruah Red,644.69,28.35626425
Devils Spring Vodka,9492.72,54.82643542
Dewars Wh Label & Honey 2 Pk,3429.02,97.64480814
DiSaronno Amaretto,4781.16,99.55324649
DiSaronno Cavalli Glass Pack,1369.37,62.63391194
Diamond Creek Red Rock Cab S,4724.79,39.68388013
Diamond Crk Cab Svgn Volcanc,4274.81,41.13562942
Diamond Crk Gravelly Cab Svg,3149.86,31.50806703
Dictador 20 Yr Rum,5039.16,85.88971178
Dingle Original PotStill Gin,179.94,20.6402134
Diora Pnt Nr,4287.23,46.17783511
Diseno Red Blend Mendoza,6982.32,49.18136092
Diseno Torrontes Salta,685.02,82.76838632
Dolin Sweet White Vermouth,1308.12,33.80041586
Dom Bousquet Cab Svgn Rsv,4461.21,23.63730916
Dom Bousquet Chardonnay,6402.27,41.39000698
Dom Bousquet Malbec Gr Rsv,311.88,31.050404
Dom Bousquet Pnt Nr Rsv,1236.3,65.45741325
Dom Cachot Monot Ct Nuits,4534.32,78.97215018
Dom Chandon 00 Carnrs Pnt Nr,551.76,31.97042192
Dom Chandon Etoile,909.66,33.70600004
Dom Chandon Riche Extra Dry,227.88,31.49025803
Dom Clape Cornas Rd,1151.88,83.10761538
Dom Clavel Languedoc,3987.15,79.39054212
Dom D'Andezon CdRhone Red,7691.18,43.54897428
Dom Dionysos Charline CdR Bl,2464.63,26.51878781
Dom Faiv Cham Clos De Beze,2141.93,51.07683258
Dom Faiveley Mercurey 14 Bl,6344.47,8.253959748
Dom Fleurot-Larose Chass-Mon,223.96,33.77388819
Dom Fond Croze CdR Serra Grd,2117.37,59.36279441
Dom Fond Croze Serre CdR Bl,1439.04,8.914276184
Dom Fontsainte Corbieres Gr,5512.06,50.09488286
Dom Fouassier Sancerre 13,2014.88,87.32629238
Dom Henri Boillot Mersault,1259.82,77.92541792
Dom Janasse Terre d'Argile,1019.49,98.68365555
Dom La Fage Cve Nicholas VdP,5366.85,41.71571779
Dom La Fage Tess Carignan VV,1454.88,46.28972836
Dom La Suffrene Bandol Rose,2736.93,31.3895496
Dom LaFage Mira Cd Rousillon,179.88,34.62308205
Dom Leflaive Merslt 07 d'Ane,236.97,32.89023927
Dom Perignon Rose,2529.89,37.73247058
Dom Piquemal Cotes du Roussi,359.76,65.51034023
Dom Poujol Rose Coteaux du,1614.15,68.48867825
Dom Prieur Meurslt Mazray 13,1671.78,10.2932204
Dom R Bouvier Marsny Rose 14,3551.13,54.56939059
Dom Roux Bourgogne Chard,5021.46,26.93121124
Dom Roux Bourgogne Pnt Nr,5725.12,34.73918451
Dom Serene Evenstad Chard,6222.59,49.6391374
Dom Serene Roadblock Syrah,359.8,79.58866037
Dom Serene Rose,8884.85,38.10533251
Dom Sourdais Chinon,742.51,51.51445772
Dom St Andrieu Rose CdP,2702.31,78.9779855
Dom Ste Michelle Extra Dry,2201.4,33.39420369
Dom Tempier Bandol Rg,4758.81,81.44536134
Dom Tempier Bandol Rose Pro,9749.32,41.51899825
Dom Virginie Thunevin Brdx,1896.88,81.67780777
Dom Zind Humbrecht Pnt Bl 12,967.56,9.711025673
Dom Zind Humbrecht Rsl 12,2616.81,18.82024297
Dom de La Foret 15 Rose,374.75,4.032021348
Dom de La Petite Cassagne,2916.63,49.79994034
Dom de Marcoux 12 Nerf Rouge,3499.5,54.79297042
Dom de Nouelles Rose d'Anjou,1163.16,47.42597751
Dom de Reuilly Pierre Plates,469.53,29.56360616
Dom de Reuilly Pnt Gris,119.88,33.33333333
Dom de Victoires Quincy Whte,775.03,34.66833542
Dom de la Damase Grenache,563.53,48.57416642
Dom de la Fruitiere Chard,2230.14,19.90099276
Dom du Dupeuble Bjls,1359.15,91.31589596
Dom du Garde Temps Tour Rose,7787.13,64.4700936
Dom du Grand Tinel Ch d Pape,3239.28,84.04583735
Dom du Grand Tinel Establet,227.94,32.87707291
Dom du Gros Nore Antoinette,2713.41,60.6355103
Dom le Clos des Lumieres CdR,1777.95,52.86144155
Dom les Pallieres Gigondas,5074.92,72.4161169
Domain Drouhin Pnt Nr Ore,9069.84,37.59206337
Domaine Pallieres Gigondas R,8505.19,59.77996964
Domaine de la Damase Rhone,1043.28,10.46698873
Dominio de Eguren Protocolo,8667.51,39.51319352
Domino Cab Svgn,3991.13,36.02177498
Domino Chard,5609.98,35.72836991
Domino Merlot,2399.38,43.84666075
Domino Moscato,143.76,17.86310518
Domino Pnt Grigio,5783.31,37.15402498
Dominus 13 Christian Moueix,5979.77,15.30443479
Dominus Napanook 13,1367.76,34.21652922
Don & Sons Pnt Nr Sonoma Cst,6803.3,42.91711375
Don Julio Real Tequila,5399.82,69.37916449
Don Q Coco Coconut Rum,77.94,73.33846549
Don Q Coco Rum,119.94,40.47023512
Don Q Limon Rum,311.76,21.86297152
Don Ramon Reposado Tequila,8322.15,60.68996593
Don Simon Selecion Chard,464.07,41.35367509
Dona Paula Est Red Blend,1390.84,74.53337551
Donegal Irish Whiskey,7770.86,68.74631637
Donnafugata Ben Rye,1223.28,32.90170689
Donnafugata Mille una Notte,510.93,80.29475662
Donum Russian River Pnt Nr,395.94,32.42915593
Dos Minas Malbec,2739.69,45.29600064
Dos Minas Torrontes,297.75,39.30478589
Double Canyon Heaven H Cab S,5469.72,70.66796838
Double Decker Red,1800.96,83.19951581
Double T Trefethen Red,311.88,31.050404
Douce Provence Pear Liqueur,21.99,28.55843565
Douglass Hill Cab Svgn,263.56,26.2407042
Douglass Hill Chard,1180.03,26.41543012
Douglass Hill Merlot,143.76,0.083472454
Dow LBV Port,5819.64,16.12522424
Dow's 10 Yr Old Tawny Port,7296.82,24.27852133
Dr Konstantin Frank Rose,5012.05,77.17341208
Dr McGillicudy's Buttersctch,398.97,86.13930872
Dr Tanisch Feinherb Rsl,359.76,32.42161441
Dragani Mntplcno d'Abruzzo,1880.86,32.03321885
Drambuie 15 Yr Old,5738.36,17.7911459
Drouhin Chorey Les Beaune,6247.5,37.6
Drouhin Laforet Red Bourgog,4371.57,43.44182982
Drouhin Pouilly Fuisse,8060.64,27.20156216
Dry Creek Vyds Est Block 10,7470.5,32.9881534
Du Peyrat Organic Cognac,7078.23,71.75565078
DuCourt Brdx Blanc,305.64,7.970160974
Duboeuf Bjls Rd,163.99,51.19214586
Duboeuf Pouilly Fuisse,1641.25,90.18796649
Dubonnet Bl,131.88,31.02820746
Duca di Salaparuta Paso Mule,945.57,34.19736244
Duck Pond Chard Wash,5850.97,40.31587925
Duck Pond Syrah Columbia,2704.77,74.71651933
Duckhorn Chard Napa Vly,8537.56,26.16028467
Duckhorn Estates Merlot,3059.82,78.49481342
Duckhorn Howell Mtn Cab Svgn,7309.57,75.99421033
Due Torri Pnt Nr del Venezie,9372.38,38.80999277
Dunn Cab Svgn Howell Mtn,8839.32,42.73665848
Dunn Vyds Cab Svgn Napa Vly,4274.43,30.29246005
Dutton Goldfield Chard Dutto,3782.03,90.37924078
Duval-Leroy Femme de Chmpgne,4199.79,50.74039416
Duval-Leroy Prestige Rose,3233.12,93.00908233
Dylans Ghost Stags Leap Red,4949.01,36.28463066
Dynamite Merlot N Cst,2711.87,44.03271543
EOS Cab Svgn Paso Robles,725.34,33.41743183
Eagle Glen Cab Svgn Napa Vly,6970.83,32.32599274
Eagle Rare Bourbon 17 yr,79.99,28.05350669
Early Times Mint Julep RTD,233.82,34.64203233
Earthshaker La Quete Lirac C,191.88,34.64665416
Ecco Domani Collezion Merlot,203.76,32.86219081
Ecco Domani Prosecco,1047.9,85.15888921
Echeverria Ltd Edtn Cab Svgn,492.83,53.00610758
Eden Ice Cider Honey Crisp,1938.79,36.59963173
Eden Ice Sprklng Cider Semi,297.49,26.6798884
Eden Ice Windfall Orchard,359.8,35.09727626
Eden Rose Cider Keg,502.98,35.06302437
Edna Valley San Luis Obs Mer,2076.24,18.74349786
Egri Bikaver Bulls Blood Eg,723.81,28.02669209
El Caballo Gold Tequila,359.6,37.03003337
El Enemigo 11 Cab Franc Mend,6247.5,27.33509404
El Enemigo Malbec Mendoza,4911.24,51.92293596
El Jimador Silver Tequila,9030.98,20.94324204
El Petit Carlania Trepat,803.57,14.3870478
El Toro Gold Tequila,9012.72,27.74656264
El Toro Silver Tequila,519.35,37.27929142
Elderton Barossa Shiraz,8434.3,21.44078347
Elderton E Series Shiraz/Cab,503.72,3.196220122
Elijah Craig 18 Yr,519.96,82.01400108
Elizabeth Rose Pnt Nr,239.88,34.61730865
Elk Cove Five Mtn Pnt Nr,2067.56,30.41798061
Elk Cove La Boheme Pnt Nr,2960.37,48.14263082
Elk Cove Pinot Bl,2356.69,78.63189473
Elmer T Lee Bourbon,9342.33,21.86338954
Elvio Cogno Barbera D'Alba B,5971.19,35.73006386
Elvio Cogno Barolo Ravera,8328.81,14.85878535
Elvio Cogno Barolo Vignaelen,3499.65,32.88328833
Elvio Cogno Dolcetto D'Alba,2198.9,22.23566329
Elvio Tintero Moscato D'Asti,3626.7,41.79171147
Emilio Lustau Amontillado S,8056.08,27.70876158
Emilio Lustau Fino Sherry,3715.72,17.42757797
Emmolo Merlot,5045.13,78.59856931
Emmolo Svgn Blanc,937.33,94.18774604
EnRoute Chard Brumaire RRV,6719.57,35.02441376
Entwine Cab Svgn,3475.65,33.55055889
Entwine Pnt Grigio,545.61,40.17704954
Enzo Boglietti Barolo Fosati,2399.68,91.61054807
Enzo Boglietti Brl Case Nere,2124.75,68.83021532
Enzo Boglietti Dolcetto Alba,1255.4,87.89867771
Epiphany Revelation,7278.61,30.82978756
Eponymous Cab Svgn Napa,9762.88,19.44426235
Eppa White Sangria Organic,3013.68,29.02298851
Erath Leland Pnt Nr,1860.51,42.4125643
Erath Prince Hill Pnt Nr,2451.35,43.93089522
Eric Kent Chardonnay RRV,1253.68,27.76944675
Eric Kent Small Town Pnt Nr,1389.68,4.73778136
Ermita Rioja Crianza,543.67,64.70653154
Ermita Rioja White,508.68,83.67539514
Ermita Sn Felices Rose Rioja,586.63,90.10960912
Errazuriz Max Fndrs RSV,4175.42,77.463345
Esperto Venezie Pnt Grigio,719.28,33.73373373
Esporao Reserva Red Alentejo,299.88,32.89315726
Est! Est!! Est!!! Bigi Grfti,105.36,31.89066059
Estancia Monterey County GSM,2065.02,55.74280152
Estancia Rsv Meritage Paso R,1183.75,31.96622895
Evans Nine Stones Brs Shiraz,573.56,41.06283562
Evolucio Fermint Tokaj,1131.95,31.72843323
Excelsior S Afr Chard,3322.48,36.46553177
Excelsior Svgn Bl,4572.6,7.872982548
Exem Brdx,3314.63,16.26938753
Ezra Brooks Cinnamon Bourbon,56.97,3.282429349
F Coppola Diamnd Petite Sira,2409.4,96.98514153
F Coppola Directors Cab Svgn,902.54,3.206506083
F Coppola Rosso & Bianc Shir,354.68,37.43092365
F Coppola Sophia Rsl,255.83,6.281515069
F Coppola Vendetta Cab/Malbc,4593.04,0.592635814
F Coppola Votre Sante Ch Red,1569.6,33.33333333
F Coppola Votre Sante Chard,5063.55,33.96925082
Fabrizio Dionisio Cast Syrah,4340.92,47.99489509
Fabrizio Dionisio Il Cast Sy,287.88,35.05627345
Fabrizio Dionisio Rose Syrah,807.46,45.830134
Failla Pnt Nr Sonoma Cst,3464.01,98.66224405
Fairview Pinotage Paarl,377.73,57.46962116
Falesco Sangiovese Umbria,1227.12,96.42251777
Falesco Tellus Cab Svgn IGT,923.16,31.48316652
Falesco Vitiano Umbria Bian,2769.8,30.34081883
Fanal Madeira Full Rich,8989.08,27.14004103
Fanal Madeira Rainwater,3806.07,23.49588946
Fancy Pants Cab Svgn,215.76,32.92547275
Fancy Pants Red Blend,341.62,12.88566243
Faretti Biscotti Liqueur,1034.64,74.18232429
Farm Napa Vly Cab Svgn,130.47,31.96137043
Farm Napa Vly Chard,1674.33,19.54453423
Farmers of Wine Italian Red,693.55,34.60457069
Farnese Edizone Cinque Autoc,413.91,61.68249136
Farnum Hill Dooryard Cider,1786.51,76.87670374
Farnum Hill Dooryard Still,1378.85,83.97795264
Farnum Hill Kingston Blk RSV,4600.53,25.27730501
Farnum Hill Summer Cider,1402.83,86.53935259
Farnum Hill X-Dry StillCider,623.48,64.56662603
Fat Bastard Cab Svgn,6877.75,45.07287994
Fat Bastard Merlot,6600.98,37.52064087
Fattoire Barbi 10 Brunello,6424.47,22.1847094
